
gs1	gs1.ngenes	gs2	gs2.ngenes	ncommon	pvalue	FDR
0	17	GO:0018130	247	3	0.000640365481652	0.0056445281918
0	17	GO:0019882	126	0	1.0	0.0056445281918
0	17	GO:0006220	38	2	0.000294960544413	0.0025202706374
0	17	GO:0072507	208	1	0.137331365382	0.0025202706374
0	17	GO:0009152	105	2	0.00239158913368	0.0193415821172
0	17	GO:0009151	9	0	1.0	0.0193415821172
0	17	GO:0009150	327	3	0.00145196874975	0.011738774412
0	17	GO:0045717	8	0	1.0	0.011738774412
0	17	GO:0000236	85	2	0.00156229991485	0.0123327827503
0	17	GO:0000239	6	0	1.0	0.0123327827503
0	17	GO:0046391	2	1	0.000710316299692	0.00555567634121
0	17	GO:0060971	2	0	1.0	0.00555567634121
0	17	GO:0009058	2466	7	0.000918180130512	0.00686890158748
0	17	GO:0009059	1652	3	0.107767566478	0.00686890158748
0	17	GO:0034418	2	1	0.000710316299692	0.00510317421722
0	17	GO:0033379	1	0	1.0	0.00510317421722
0	17	GO:0000279	420	3	0.00297772797377	0.0211988889367
0	17	GO:0000278	561	4	0.000542699238252	0.00386300876016
0	17	GO:0045085	4	0	1.0	0.00386300876016
0	17	GO:0008654	114	2	0.00281942285048	0.0198272149174
0	17	GO:0006898	67	0	1.0	0.0198272149174
0	17	GO:0051325	318	3	0.00133923132523	0.00922156951752
0	17	GO:0051324	22	0	1.0	0.00922156951752
0	17	GO:0006020	7	1	0.00425478040285	0.0281985248144
0	17	GO:0006753	504	3	0.00498292433011	0.0281985248144
0	17	GO:0006754	71	0	1.0	0.0330199329454
0	17	GO:0022402	796	4	0.00200722349104	0.0132225419366
0	17	GO:0022403	675	4	0.00108916895541	0.00717393567872
0	17	GO:0022400	1	0	1.0	0.00717393567872
0	17	GO:0051301	360	3	0.00191603636141	0.0126069566045
0	17	GO:0022409	23	0	1.0	0.0126069566045
0	17	GO:0046390	4	1	0.00212952452764	0.0137928553416
0	17	GO:0015988	31	0	1.0	0.0137928553416
0	17	GO:0009259	336	3	0.00157053256164	0.010151323795
0	17	GO:0010350	1	0	1.0	0.010151323795
0	17	GO:0006066	462	4	0.000258479382311	0.0015698306145
0	17	GO:0006067	11	0	1.0	0.0015698306145
0	17	GO:0000086	116	2	0.00291904196721	0.0176919111622
0	17	GO:0000087	292	3	0.00104521073036	0.00633411332487
0	17	GO:0000084	114	1	0.0773292249577	0.00633411332487
0	17	GO:0044271	386	3	0.00234036151968	0.0137447630087
0	17	GO:0007420	411	1	0.25461333778	0.0137447630087
0	17	GO:0046939	8	1	0.00496225182584	0.0287062493244
0	17	GO:0014049	8	0	1.0	0.0287062493244
0	17	GO:0046483	663	4	0.00101850950891	0.0058241987299
0	17	GO:0002776	1	0	1.0	0.0058241987299
0	17	GO:0006996	1648	5	0.00466908197699	0.025848359191
